ISIN,StockID,Company,ShortName,BSE Code,NSE Code,Year High,Year Low,Close Price,Market Cap,LTP,Open,High,Low,Day Change,% Change,Volume
INE572A01036,GSTK506943,JB Chemicals & Pharmaceuticals,JB Chem & Pharma,506943,
INE111A01025,GSTK531344,Container Corporation of India,Container Corp,531344,CONCOR
INE819V01029,GSTK544466,Aditya Infotech,Aditya Infotech,544466,CPPLUS
INE335Y01020,GSTK542830,Indian Railway Catering & Tourism Corporation,IRCTC,542830,IRCTC
INE031A01017,GSTK540530,Housing & Urban Development Corporation,HUDCO,540530,HUDCO
INE006I01046,GSTK532830,Astral,Astral,532830,ASTRAL
INE470A01017,GSTK523395,3M India,3M India,523395,3MINDIA
INE048G01026,GSTK532504,Navin Fluorine International,Navin Fluorine Intl,532504,NAVINFLUOR
INE913H01037,GSTK540153,Endurance Technologies,Endurance Tech,540153,ENDURANCE
INE619A01035,GSTK500368,Patanjali Foods,Patanjali Foods,500368,PATANJALI
INE302A01020,GSTK500086,Exide Industries,Exide Industries,500086,EXIDEIND
INE019C01026,GSTK500184,Himadri Speciality Chemical,Himadri Speciality,500184,HSCL
INE474Q01031,GSTK543654,Global Health,Global Health,543654,MEDANTA
INE010V01017,GSTK540115,L&T Technology Services,L&T Technology Serv.,540115,LTTS
INE686F01025,GSTK532478,United Breweries,United Breweries,532478,UBL
INE704P01025,GSTK540678,Cochin Shipyard,Cochin Shipyard,540678,COCHINSHIP
INE168P01015,GSTK544210,Emcure Pharmaceuticals,Emcure Pharma,544210,EMCURE
INE0LP301011,GSTK544609,Physicswallah,Physicswallah,544609,PWL
INE148O01028,GSTK543529,Delhivery,Delhivery,543529,DELHIVERY
INE930H01031,GSTK532889,K.P.R. Mill,K.P.R. Mill,532889,KPRMILL
INE575P01011,GSTK543412,Star Health and Allied Insurance Company,Star Health Insurance,543412,STARHEALTH
INE522D01027,GSTK531213,Manappuram Finance,Manappuram Finance,531213,MANAPPURAM
INE472A01039,GSTK500067,Blue Star,Blue Star,500067,BLUESTARCO
INE042A01014,GSTK500495,Escorts,Escorts,500495,ESCORTS
INE463V01026,GSTK543415,Anand Rathi Wealth Ltd.,Anand Rathi Weal,543415,ANANDRATHI
INE672A01026,GSTK501301,Tata Investment Corporation,Tata Investment Corp,501301,TATAINVEST
INE093A01041,GSTK544362,Hexaware Technologies Limited,HEXT,544362,HEXT
INE379A01028,GSTK544325,ITC Hotels,ITC Hotels,544325,ITCHOTELS
INE967H01025,GSTK543308,Krishna Institute of Medical Sciences,KIMS,543308,KIMS
INE00R701025,GSTK542216,Dalmia Bharat,Dalmia Bharat,542216,DALBHARAT
INE671A01010,GSTK517174,Honeywell Automation India,Honeywell Automation,517174,HONAUT
INE202E01016,GSTK544026,Indian Renewable Energy Development Agency,Indian Ren. Energy,544026,IREDA
INE260B01028,GSTK500163,Godfrey Phillips India,Godfrey Phillips,500163,GODFRYPHLP
INE036D01028,GSTK590003,Karur Vysya Bank,Karur Vysya Bank,590003,KARURVYSYA
INE531F01023,GSTK543988,Nuvama Wealth Management,Nuvama Wealth,543988,NUVAMA
INE691A01018,GSTK532505,UCO Bank,UCO Bank,532505,UCOBANK
INE839M01018,GSTK534139,Schneider Electric Infrastructure,Schneider Electric,534139,SCHNEIDER
INE0INX01018,GSTK544407,Aegis Vopak Terminals,Aegis Vopak Terminal,544407,AEGISVOPAK
INE600L01024,GSTK539524,Dr Lal PathLabs,Dr Lal PathLabs,539524,LALPATHLAB
INE007A01025,GSTK500092,CRISIL,CRISIL,500092,CRISIL
INE146L01010,GSTK533293,Kirloskar Oil Engines,Kirloskar Oil Engines,533293,KIRLOSENG
INE049B01025,GSTK532300,Wockhardt,Wockhardt,532300,WOCKPHARMA
INE115Q01022,GSTK544309,Inventurus Knowledge Solutions,Inventurus Knowledge,544309,IKS
INE509F01029,GSTK530843,Cupid,Cupid,530843,CUPID
INE142M01025,GSTK544028,Tata Technologies,Tata Technologies,544028,TATATECH
INE382Z01011,GSTK542011,Garden Reach Shipbuilders & Engineers,Garden Reach,542011,GRSE
INE103A01014,GSTK500109,Mangalore Refinery And Petrochemicals,MRPL,500109,MRPL
INE548A01028,GSTK500183,HFCL,HFCL,500183,HFCL
INE105A01035,GSTK520056,TVS Holdings,TVS Holdings,520056,TVSHLTD
INE777K01022,GSTK543981,RR Kabel,RR Kabel,543981,RRKABEL
INE404A01024,GSTK543374,Aditya Birla Sun Life AMC,Aditya Birla Sun AMC,543374,ABSLAMC
INE763G01038,GSTK541179,ICICI Securities,ICICI Securities,541179,
INE797F01020,GSTK533155,Jubilant FoodWorks,Jubilant Foodworks,533155,JUBLFOOD
INE810G01011,GSTK543299,Shyam Metalics and Energy,Shyam Metalics,543299,SHYAMMETL
INE149A01033,GSTK504973,Cholamandalam Financial Holdings,Cholamandalam Fin.,504973,CHOLAHLDNG
INE115A01026,GSTK500253,LIC Housing Finance,LIC Housing Finance,500253,LICHSGFIN
INE470Y01017,GSTK540769,New India Assurance Company,New India Assurance,540769,NIACL
INE317I01021,GSTK543426,Metro Brands,Metro Brands,543426,METROBRAND
INE545U01014,GSTK541153,Bandhan Bank,Bandhan Bank,541153,BANDHANBNK
INE483A01010,GSTK532885,Central Bank of India,Central Bank of India,532885,CENTRALBK
INE570L01029,GSTK544306,Sai Life Sciences,Sai Life Sciences,544306,SAILIFE
INE179A01014,GSTK500459,Procter & Gamble Hygiene & Health Care,P&G,500459,PGHH
INE342J01019,GSTK533023,ZF Commercial Vehicle Control Systems India,ZF Comm Vehic Contr,533023,ZFCVINDIA
INE572E01012,GSTK540173,PNB Housing Finance,PNB Housing Finance,540173,PNBHOUSING
INE732I01021,GSTK543235,Angel One,Angel One,543235,ANGELONE
INE438A01022,GSTK500877,Apollo Tyres,Apollo Tyres,500877,APOLLOTYRE
INE002L01015,GSTK533206,SJVN,SJVN,533206,SJVN
INE0FS801015,GSTK543498,Motherson Sumi Wiring India,Motherson Sumi Wiring India,543498,MSUMI
INE248A01017,GSTK523610,ITI,ITI,523610,ITI
INE596F01018,GSTK539006,PTC Industries,PTC Industries,539006,PTCIL
INE0DYJ01015,GSTK543573,Syrma SGS Technology,Syrma SGS Technology,543573,SYRMA
INE371P01015,GSTK540902,Amber Enterprises India,Amber Enterprises,540902,AMBER
INE0DK501011,GSTK543635,Piramal Pharma,Piramal Pharma,543635,PPLPHARMA
INE530B01024,GSTK532636,IIFL Finance,IIFL Finance,532636,IIFL
INE00LO01017,GSTK543276,Craftsman Automation,Craftsman Automation,543276,CRAFTSMAN
INE844O01030,GSTK539336,Gujarat Energy,Gujarat Energy,539336,GUJENERGY
INE0NT901020,GSTK543945,Netweb Technologies India,Netweb Technologies,543945,NETWEB
INE622W01025,GSTK544283,Acme Solar Holdings,Acme Solar Holdings,544283,ACMESOLAR
INE095N01031,GSTK534309,NBCC (India),NBCC (India),534309,NBCC
INE741K01010,GSTK541770,CreditAccess Grameen,CreditAccess Grameen,541770,CREDITACC
INE012A01025,GSTK500410,ACC,ACC,500410,ACC
INE140A01024,GSTK500302,Piramal Enterprises,Piramal Enterprises,500302,
INE918Z01012,GSTK543664,Kaynes Technology India,Kaynes Technology,543664,KAYNES
INE258G01013,GSTK542920,Sumitomo Chemical India,Sumitomo Chemical,542920,SUMICHEM
INE00FF01025,GSTK543349,Acutaas Chemicals,Acutaas Chemicals,543349,ACUTAAS
INE891D01026,GSTK532805,Redington,Redington,532805,REDINGTON
INE864I01014,GSTK543270,MTAR Technologies,MTAR Technologies,543270,MTARTECH
INE322A01010,GSTK507815,Gillette India,Gillette India,507815,GILLETTE
